coral_id,bouyantweight_g,temp_c,date,group,air_temp_c,air_weight_g,fresh_temp_c,fresh_weight_g,salt_temp_c,salt_weight_g,salinity_ppt,density_aragonite,density_stopper,density_sw,vol_coral_cm3,dry_mass_coral_g
16,7.936,23.8,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,4.164336826833101,12.201506902620986
91,6.708,23.8,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.519956077922939,10.313471308314211
37,6.417,23.8,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.3672567310720773,9.866062222041187
67,6.182,23.8,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.2439428255395955,9.504752478831016
20,5.164,23.9,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,2.7097574815733534,7.939589421009926
12,7.233,23.9,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.795444590282739,11.120652649528425
42,6.668,23.9,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.4989664769812396,10.251971777555033
14,6.634,23.9,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.4811253161807953,10.199697176409732
89,5.817,23.9,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.0524127169465913,8.943569260653513
33,5.048,23.9,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,2.6488876388424263,7.76124078180831
99,5.981,24,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.1384700808075574,9.195717336766144
60,5.976,24,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.135846380689845,9.188029895421247
70,5.46,24,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,2.8650805285419265,8.394685948627846
35,4.768,24,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,2.501960432250532,7.33074406649406
2,8.856,24,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,4.64709764849218,13.61599611008209
50,6.756,24,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.545143599052978,10.387270745225226
84,6.291,23.8,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.3011394881057257,9.672338700149776
28,5.859,23.9,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.0744517979353754,9.008143767950651
45,7.299,23.9,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.830077431836543,11.222126875281072
73,6.452,23.9,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.3856226318960645,9.91987431145547
96,6.92,23.9,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.631200962913944,10.639418821337856
94,7.398,23.9,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.882026694167248,11.374338213910036
55,6.033,23.9,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.1657565620317665,9.275666726753077
47,5.65,23.9,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,2.9647811330149976,8.686808719733943
102,5.348,21.9,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,2.8002476793869193,8.204725700603674
1,7.966,21.9,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,4.171049553851197,12.221175192784008
88,5.561,21.9,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,2.911775868562202,8.531503294887253
6,6.757,21.9,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,3.5380092688140263,10.366367157625097
53,5.128,21.9,20230703,3,23,47.305,23.8,26.17,21.9,25.668,27.7,2.93,2.2303966169860425,1.0201689377809322,2.6850542445579886,7.867208936554907
