#,Date-Time (French Polynesia Standard Time),Ch:1 - Temperature   (°C),Chan 1 Alarm Tripped,Chan 1 Alarm Cleared,Button Down,Button Up,Host Connected,End of File
287,07/06/2023 20:14:50,28.91,,,,,,
288,07/06/2023 20:24:50,28.87,,,,,,
289,07/06/2023 20:34:50,28.83,,,,,,
290,07/06/2023 20:44:50,28.83,,,,,,
291,07/06/2023 20:54:50,28.78,,,,,,
292,07/06/2023 21:04:50,28.70,,,,,,
293,07/06/2023 21:14:50,28.74,,,,,,
294,07/06/2023 21:24:50,28.70,,,,,,
295,07/06/2023 21:34:50,28.70,,,,,,
296,07/06/2023 21:44:50,28.70,,,,,,
297,07/06/2023 21:54:50,28.65,,,,,,
298,07/06/2023 22:04:50,28.65,,,,,,
299,07/06/2023 22:14:50,28.70,,,,,,
300,07/06/2023 22:24:50,28.78,,,,,,
301,07/06/2023 22:34:50,28.70,,,,,,
302,07/06/2023 22:44:50,28.74,,,,,,
303,07/06/2023 22:54:50,28.70,,,,,,
304,07/06/2023 23:04:50,28.74,,,,,,
305,07/06/2023 23:14:50,28.70,,,,,,
306,07/06/2023 23:24:50,28.65,,,,,,
307,07/06/2023 23:34:50,28.65,,,,,,
308,07/06/2023 23:44:50,28.65,,,,,,
309,07/06/2023 23:54:50,28.65,,,,,,
310,07/07/2023 00:04:50,28.61,,,,,,
311,07/07/2023 00:14:50,28.65,,,,,,
312,07/07/2023 00:24:50,28.65,,,,,,
313,07/07/2023 00:34:50,28.61,,,,,,
314,07/07/2023 00:44:50,28.65,,,,,,
315,07/07/2023 00:54:50,28.61,,,,,,
316,07/07/2023 01:04:50,28.61,,,,,,
317,07/07/2023 01:14:50,28.61,,,,,,
318,07/07/2023 01:24:50,28.61,,,,,,
319,07/07/2023 01:34:50,28.65,,,,,,
320,07/07/2023 01:44:50,28.61,,,,,,
321,07/07/2023 01:54:50,28.65,,,,,,
322,07/07/2023 02:04:50,28.65,,,,,,
323,07/07/2023 02:14:50,28.65,,,,,,
324,07/07/2023 02:24:50,28.65,,,,,,
325,07/07/2023 02:34:50,28.65,,,,,,
326,07/07/2023 02:44:50,28.65,,,,,,
327,07/07/2023 02:54:50,28.57,,,,,,
328,07/07/2023 03:04:50,28.70,,,,,,
329,07/07/2023 03:14:50,28.65,,,,,,
330,07/07/2023 03:24:50,28.65,,,,,,
331,07/07/2023 03:34:50,28.61,,,,,,
332,07/07/2023 03:44:50,28.57,,,,,,
333,07/07/2023 03:54:50,28.61,,,,,,
334,07/07/2023 04:04:50,28.57,,,,,,
335,07/07/2023 04:14:50,28.61,,,,,,
336,07/07/2023 04:24:50,28.61,,,,,,
337,07/07/2023 04:34:50,28.61,,,,,,
338,07/07/2023 04:44:50,28.61,,,,,,
339,07/07/2023 04:54:50,28.61,,,,,,
340,07/07/2023 05:04:50,28.61,,,,,,
341,07/07/2023 05:14:50,28.57,,,,,,
342,07/07/2023 05:24:50,28.57,,,,,,
343,07/07/2023 05:34:50,28.57,,,,,,
344,07/07/2023 05:44:50,28.61,,,,,,
345,07/07/2023 05:54:50,28.57,,,,,,
346,07/07/2023 06:04:50,28.57,,,,,,
347,07/07/2023 06:14:50,28.61,,,,,,
348,07/07/2023 06:24:50,28.61,,,,,,
349,07/07/2023 06:34:50,28.57,,,,,,
350,07/07/2023 06:44:50,28.57,,,,,,
351,07/07/2023 06:54:50,28.61,,,,,,
352,07/07/2023 07:04:50,28.65,,,,,,
353,07/07/2023 07:14:50,28.70,,,,,,
354,07/07/2023 07:24:50,28.70,,,,,,
355,07/07/2023 07:34:50,28.74,,,,,,
356,07/07/2023 07:44:50,28.74,,,,,,
357,07/07/2023 07:54:50,28.78,,,,,,
358,07/07/2023 08:04:50,28.87,,,,,,
359,07/07/2023 08:14:50,28.91,,,,,,
360,07/07/2023 08:24:50,28.95,,,,,,
361,07/07/2023 08:34:50,28.95,,,,,,
362,07/07/2023 08:44:50,29.00,,,,,,
363,07/07/2023 08:54:50,29.04,,,,,,
364,07/07/2023 09:04:50,29.13,,,,,,
365,07/07/2023 09:14:50,29.17,,,,,,
366,07/07/2023 09:24:50,29.26,,,,,,
367,07/07/2023 09:34:50,29.30,,,,,,
368,07/07/2023 09:44:50,29.34,,,,,,
369,07/07/2023 09:54:50,29.34,,,,,,
370,07/07/2023 10:04:50,29.43,,,,,,
371,07/07/2023 10:14:50,29.47,,,,,,
372,07/07/2023 10:24:50,29.51,,,,,,
373,07/07/2023 10:34:50,29.51,,,,,,
374,07/07/2023 10:44:50,29.47,,,,,,
375,07/07/2023 10:54:50,29.56,,,,,,
376,07/07/2023 11:04:50,29.56,,,,,,
377,07/07/2023 11:14:50,29.56,,,,,,
378,07/07/2023 11:24:50,29.64,,,,,,
379,07/07/2023 11:34:50,29.68,,,,,,
380,07/07/2023 11:44:50,29.68,,,,,,
381,07/07/2023 11:54:50,29.68,,,,,,
382,07/07/2023 12:04:50,29.68,,,,,,
383,07/07/2023 12:14:50,29.68,,,,,,
384,07/07/2023 12:24:50,29.73,,,,,,
385,07/07/2023 12:34:50,29.64,,,,,,
386,07/07/2023 12:44:50,29.73,,,,,,
387,07/07/2023 12:54:50,29.77,,,,,,
388,07/07/2023 13:04:50,29.77,,,,,,
389,07/07/2023 13:14:50,29.68,,,,,,
390,07/07/2023 13:24:50,29.64,,,,,,
391,07/07/2023 13:34:50,29.68,,,,,,
392,07/07/2023 13:44:50,29.64,,,,,,
393,07/07/2023 13:54:50,29.64,,,,,,
394,07/07/2023 14:04:50,29.68,,,,,,
395,07/07/2023 14:14:50,29.64,,,,,,
396,07/07/2023 14:24:50,29.56,,,,,,
397,07/07/2023 14:34:50,29.51,,,,,,
398,07/07/2023 14:44:50,29.51,,,,,,
399,07/07/2023 14:54:50,29.47,,,,,,
400,07/07/2023 15:04:50,29.56,,,,,,
401,07/07/2023 15:14:50,29.56,,,,,,
402,07/07/2023 15:24:50,29.56,,,,,,
403,07/07/2023 15:34:50,29.56,,,,,,
404,07/07/2023 15:44:50,29.47,,,,,,
405,07/07/2023 15:54:50,29.47,,,,,,
406,07/07/2023 16:04:50,29.34,,,,,,
407,07/07/2023 16:14:50,29.34,,,,,,
408,07/07/2023 16:24:50,29.30,,,,,,
409,07/07/2023 16:34:50,29.21,,,,,,
410,07/07/2023 16:44:50,29.13,,,,,,
411,07/07/2023 16:54:50,29.17,,,,,,
412,07/07/2023 17:04:50,29.13,,,,,,
413,07/07/2023 17:14:50,29.13,,,,,,
414,07/07/2023 17:24:50,29.17,,,,,,
415,07/07/2023 17:34:50,29.17,,,,,,
416,07/07/2023 17:44:50,29.13,,,,,,
417,07/07/2023 17:54:50,29.13,,,,,,
418,07/07/2023 18:04:50,29.13,,,,,,
419,07/07/2023 18:14:50,29.13,,,,,,
420,07/07/2023 18:24:50,29.21,,,,,,
421,07/07/2023 18:34:50,29.17,,,,,,
422,07/07/2023 18:44:50,29.13,,,,,,
423,07/07/2023 18:54:50,29.08,,,,,,
424,07/07/2023 19:04:50,29.13,,,,,,
425,07/07/2023 19:14:50,29.13,,,,,,
426,07/07/2023 19:24:50,29.08,,,,,,
427,07/07/2023 19:34:50,29.08,,,,,,
428,07/07/2023 19:44:50,29.13,,,,,,
429,07/07/2023 19:54:50,29.13,,,,,,
430,07/07/2023 20:04:50,29.13,,,,,,
431,07/07/2023 20:14:50,29.13,,,,,,
432,07/07/2023 20:24:50,29.08,,,,,,
433,07/07/2023 20:34:50,29.00,,,,,,
434,07/07/2023 20:44:50,28.95,,,,,,
435,07/07/2023 20:54:50,28.91,,,,,,
436,07/07/2023 21:04:50,28.91,,,,,,
437,07/07/2023 21:14:50,28.87,,,,,,
438,07/07/2023 21:24:50,28.87,,,,,,
439,07/07/2023 21:34:50,28.91,,,,,,
440,07/07/2023 21:44:50,28.83,,,,,,
441,07/07/2023 21:54:50,28.78,,,,,,
442,07/07/2023 22:04:50,28.78,,,,,,
443,07/07/2023 22:14:50,28.78,,,,,,
444,07/07/2023 22:24:50,28.83,,,,,,
445,07/07/2023 22:34:50,28.83,,,,,,
446,07/07/2023 22:44:50,28.87,,,,,,
447,07/07/2023 22:54:50,28.91,,,,,,
448,07/07/2023 23:04:50,29.00,,,,,,
449,07/07/2023 23:14:50,29.00,,,,,,
450,07/07/2023 23:24:50,29.00,,,,,,
451,07/07/2023 23:34:50,29.04,,,,,,
452,07/07/2023 23:44:50,29.08,,,,,,
453,07/07/2023 23:54:50,29.04,,,,,,
454,07/08/2023 00:04:50,29.04,,,,,,
455,07/08/2023 00:14:50,29.04,,,,,,
456,07/08/2023 00:24:50,29.00,,,,,,
457,07/08/2023 00:34:50,29.13,,,,,,
458,07/08/2023 00:44:50,29.08,,,,,,
459,07/08/2023 00:54:50,29.08,,,,,,
460,07/08/2023 01:04:50,29.08,,,,,,
461,07/08/2023 01:14:50,29.08,,,,,,
462,07/08/2023 01:24:50,29.08,,,,,,
463,07/08/2023 01:34:50,29.04,,,,,,
464,07/08/2023 01:44:50,28.95,,,,,,
465,07/08/2023 01:54:50,29.00,,,,,,
466,07/08/2023 02:04:50,29.04,,,,,,
467,07/08/2023 02:14:50,29.04,,,,,,
468,07/08/2023 02:24:50,29.04,,,,,,
469,07/08/2023 02:34:50,29.00,,,,,,
470,07/08/2023 02:44:50,28.95,,,,,,
471,07/08/2023 02:54:50,29.00,,,,,,
472,07/08/2023 03:04:50,28.95,,,,,,
473,07/08/2023 03:14:50,29.00,,,,,,
474,07/08/2023 03:24:50,29.04,,,,,,
475,07/08/2023 03:34:50,29.00,,,,,,
476,07/08/2023 03:44:50,28.95,,,,,,
477,07/08/2023 03:54:50,28.95,,,,,,
478,07/08/2023 04:04:50,29.00,,,,,,
479,07/08/2023 04:14:50,29.00,,,,,,
480,07/08/2023 04:24:50,29.04,,,,,,
481,07/08/2023 04:34:50,29.04,,,,,,
482,07/08/2023 04:44:50,29.00,,,,,,
483,07/08/2023 04:54:50,29.00,,,,,,
484,07/08/2023 05:04:50,28.95,,,,,,
485,07/08/2023 05:14:50,28.95,,,,,,
486,07/08/2023 05:24:50,29.00,,,,,,
487,07/08/2023 05:34:50,28.95,,,,,,
488,07/08/2023 05:44:50,28.95,,,,,,
489,07/08/2023 05:54:50,28.95,,,,,,
490,07/08/2023 06:04:50,29.00,,,,,,
491,07/08/2023 06:14:50,29.04,,,,,,
492,07/08/2023 06:24:50,29.00,,,,,,
493,07/08/2023 06:34:50,29.00,,,,,,
494,07/08/2023 06:44:50,28.95,,,,,,
495,07/08/2023 06:54:50,29.00,,,,,,
496,07/08/2023 07:04:50,29.00,,,,,,
497,07/08/2023 07:14:50,29.13,,,,,,
498,07/08/2023 07:24:50,29.17,,,,,,
499,07/08/2023 07:34:50,29.21,,,,,,
500,07/08/2023 07:44:50,29.26,,,,,,
501,07/08/2023 07:54:50,29.30,,,,,,
502,07/08/2023 08:04:50,29.34,,,,,,
503,07/08/2023 08:14:50,29.47,,,,,,
504,07/08/2023 08:24:50,29.47,,,,,,
505,07/08/2023 08:34:50,29.56,,,,,,
506,07/08/2023 08:44:50,29.56,,,,,,
507,07/08/2023 08:54:50,29.56,,,,,,
508,07/08/2023 09:04:50,29.51,,,,,,
509,07/08/2023 09:14:50,29.60,,,,,,
510,07/08/2023 09:24:50,29.56,,,,,,
511,07/08/2023 09:34:50,29.56,,,,,,
512,07/08/2023 09:44:50,29.56,,,,,,
513,07/08/2023 09:54:50,29.56,,,,,,
514,07/08/2023 10:04:50,29.64,,,,,,
515,07/08/2023 10:14:50,29.73,,,,,,
516,07/08/2023 10:24:50,29.73,,,,,,
517,07/08/2023 10:34:50,29.81,,,,,,
518,07/08/2023 10:44:50,29.86,,,,,,
519,07/08/2023 10:54:50,29.94,,,,,,
520,07/08/2023 11:04:50,30.03,,,,,,
521,07/08/2023 11:14:50,30.03,,,,,,
522,07/08/2023 11:24:50,30.11,,,,,,
523,07/08/2023 11:34:50,29.90,,,,,,
524,07/08/2023 11:44:50,29.64,,,,,,
525,07/08/2023 11:54:50,29.73,,,,,,
526,07/08/2023 12:04:50,29.77,,,,,,
527,07/08/2023 12:14:50,29.90,,,,,,
528,07/08/2023 12:24:50,29.90,,,,,,
529,07/08/2023 12:34:50,29.94,,,,,,
530,07/08/2023 12:44:50,30.07,,,,,,
531,07/08/2023 12:54:50,30.07,,,,,,
532,07/08/2023 13:04:50,29.81,,,,,,
533,07/08/2023 13:14:50,29.81,,,,,,
534,07/08/2023 13:24:50,29.94,,,,,,
535,07/08/2023 13:34:50,30.03,,,,,,
536,07/08/2023 13:44:50,30.07,,,,,,
537,07/08/2023 13:54:50,30.07,,,,,,
538,07/08/2023 14:04:50,29.94,,,,,,
539,07/08/2023 14:14:50,29.56,,,,,,
540,07/08/2023 14:24:50,29.77,,,,,,
541,07/08/2023 14:34:50,29.94,,,,,,
542,07/08/2023 14:44:50,29.81,,,,,,
543,07/08/2023 14:54:50,29.60,,,,,,
544,07/08/2023 15:04:50,29.77,,,,,,
545,07/08/2023 15:14:50,30.03,,,,,,
546,07/08/2023 15:24:50,29.81,,,,,,
547,07/08/2023 15:34:50,29.56,,,,,,
548,07/08/2023 15:44:50,29.86,,,,,,
549,07/08/2023 15:54:50,29.94,,,,,,
