#,Date-Time (French Polynesia Standard Time),Ch:1 - Hot_sump   (°C),Chan 1 Alarm Tripped,Host Connected,Chan 1 Alarm Cleared,Button Down,Button Up,End of File
204,06/13/2023 23:28:45,29.60,,,,,,
205,06/13/2023 23:38:45,29.77,,,,,,
206,06/13/2023 23:48:45,29.68,,,,,,
207,06/13/2023 23:58:45,29.34,,,,,,
208,06/14/2023 00:08:45,29.43,,,,,,
209,06/14/2023 00:18:45,29.60,,,,,,
210,06/14/2023 00:28:45,29.77,,,,,,
211,06/14/2023 00:38:45,29.81,,,,,,
212,06/14/2023 00:48:45,29.47,,,,,,
213,06/14/2023 00:58:45,29.34,,,,,,
214,06/14/2023 01:08:45,29.60,,,,,,
215,06/14/2023 01:18:45,29.68,,,,,,
216,06/14/2023 01:28:45,29.81,,,,,,
217,06/14/2023 01:38:45,29.51,,,,,,
218,06/14/2023 01:48:45,29.38,,,,,,
219,06/14/2023 01:58:45,29.56,,,,,,
220,06/14/2023 02:08:45,29.68,,,,,,
221,06/14/2023 02:18:45,29.73,,,,,,
222,06/14/2023 02:28:45,29.77,,,,,,
223,06/14/2023 02:38:45,29.43,,,,,,
224,06/14/2023 02:48:45,29.34,,,,,,
225,06/14/2023 02:58:45,29.60,,,,,,
226,06/14/2023 03:08:45,29.73,,,,,,
227,06/14/2023 03:18:45,29.81,,,,,,
228,06/14/2023 03:28:45,29.68,,,,,,
229,06/14/2023 03:38:45,29.38,,,,,,
230,06/14/2023 03:48:45,29.47,,,,,,
231,06/14/2023 03:58:45,29.68,,,,,,
232,06/14/2023 04:08:45,29.86,,,,,,
233,06/14/2023 04:18:45,29.60,,,,,,
234,06/14/2023 04:28:45,29.38,,,,,,
235,06/14/2023 04:38:45,29.43,,,,,,
236,06/14/2023 04:48:45,29.73,,,,,,
237,06/14/2023 04:58:45,29.81,,,,,,
238,06/14/2023 05:08:45,29.51,,,,,,
239,06/14/2023 05:18:45,29.30,,,,,,
240,06/14/2023 05:28:45,29.51,,,,,,
241,06/14/2023 05:38:45,29.73,,,,,,
242,06/14/2023 05:48:45,29.73,,,,,,
243,06/14/2023 05:58:45,29.43,,,,,,
244,06/14/2023 06:08:45,29.38,,,,,,
245,06/14/2023 06:18:45,29.64,,,,,,
246,06/14/2023 06:28:45,29.77,,,,,,
247,06/14/2023 06:38:45,29.68,,,,,,
248,06/14/2023 06:48:45,29.47,,,,,,
249,06/14/2023 06:58:45,29.34,,,,,,
250,06/14/2023 07:08:45,29.68,,,,,,
251,06/14/2023 07:18:45,29.86,,,,,,
252,06/14/2023 07:28:45,29.64,,,,,,
253,06/14/2023 07:38:45,29.51,,,,,,
254,06/14/2023 07:48:45,29.43,,,,,,
255,06/14/2023 07:58:45,29.73,,,,,,
256,06/14/2023 08:08:45,29.86,,,,,,
257,06/14/2023 08:18:45,29.68,,,,,,
258,06/14/2023 08:28:45,29.51,,,,,,
259,06/14/2023 08:38:45,29.38,,,,,,
260,06/14/2023 08:48:45,29.64,,,,,,
261,06/14/2023 08:58:45,29.90,,,,,,
262,06/14/2023 09:08:45,29.73,,,,,,
263,06/14/2023 09:18:45,29.60,,,,,,
264,06/14/2023 09:28:45,29.47,,,,,,
265,06/14/2023 09:38:45,29.38,,,,,,
266,06/14/2023 09:48:45,29.68,,,,,,
267,06/14/2023 09:58:45,29.86,,,,,,
268,06/14/2023 10:08:45,29.73,,,,,,
269,06/14/2023 10:18:45,29.64,,,,,,
270,06/14/2023 10:28:45,29.60,,,,,,
271,06/14/2023 10:38:45,29.51,,,,,,
272,06/14/2023 10:48:45,29.43,,,,,,
273,06/14/2023 10:58:45,29.47,,,,,,
274,06/14/2023 11:08:45,29.90,,,,,,
275,06/14/2023 11:18:45,29.77,,,,,,
276,06/14/2023 11:28:45,29.73,,,,,,
277,06/14/2023 11:38:45,29.64,,,,,,
278,06/14/2023 11:48:45,29.68,,,,,,
279,06/14/2023 11:58:45,29.68,,,,,,
280,06/14/2023 12:08:45,29.73,,,,,,
281,06/14/2023 12:18:45,29.68,,,,,,
282,06/14/2023 12:28:45,29.68,,,,,,
283,06/14/2023 12:38:45,29.64,,,,,,
284,06/14/2023 12:48:45,29.60,,,,,,
285,06/14/2023 12:58:45,29.56,,,,,,
286,06/14/2023 13:08:45,29.43,,,,,,
287,06/14/2023 13:18:45,29.30,,,,,,
288,06/14/2023 13:28:45,29.60,,,,,,
289,06/14/2023 13:38:45,29.90,,,,,,
290,06/14/2023 13:48:45,29.77,,,,,,
291,06/14/2023 13:58:45,29.56,,,,,,
292,06/14/2023 14:08:45,29.43,,,,,,
293,06/14/2023 14:18:45,29.34,,,,,,
294,06/14/2023 14:28:45,29.60,,,,,,
295,06/14/2023 14:38:45,29.77,,,,,,
296,06/14/2023 14:48:45,29.81,,,,,,
297,06/14/2023 14:58:45,29.64,,,,,,
298,06/14/2023 15:08:45,29.43,,,,,,
299,06/14/2023 15:18:45,29.43,,,,,,
300,06/14/2023 15:28:45,29.56,,,,,,
301,06/14/2023 15:38:45,29.73,,,,,,
302,06/14/2023 15:48:45,29.73,,,,,,
303,06/14/2023 15:58:45,29.47,,,,,,
304,06/14/2023 16:08:45,29.30,,,,,,
305,06/14/2023 16:18:45,29.60,,,,,,
306,06/14/2023 16:28:45,29.81,,,,,,
307,06/14/2023 16:38:45,29.60,,,,,,
308,06/14/2023 16:48:45,29.43,,,,,,
309,06/14/2023 16:58:45,29.43,,,,,,
310,06/14/2023 17:08:45,29.68,,,,,,
311,06/14/2023 17:18:45,29.86,,,,,,
312,06/14/2023 17:28:45,29.56,,,,,,
313,06/14/2023 17:38:45,29.38,,,,,,
314,06/14/2023 17:48:45,29.43,,,,,,
315,06/14/2023 17:58:45,29.68,,,,,,
316,06/14/2023 18:08:45,29.81,,,,,,
317,06/14/2023 18:18:45,29.56,,,,,,
318,06/14/2023 18:28:45,29.43,,,,,,
319,06/14/2023 18:38:45,29.47,,,,,,
320,06/14/2023 18:48:45,29.64,,,,,,
321,06/14/2023 18:58:45,29.81,,,,,,
322,06/14/2023 19:08:45,29.60,,,,,,
323,06/14/2023 19:18:45,29.34,,,,,,
324,06/14/2023 19:28:45,29.47,,,,,,
325,06/14/2023 19:38:45,29.73,,,,,,
326,06/14/2023 19:48:45,29.77,,,,,,
327,06/14/2023 19:58:45,29.47,,,,,,
328,06/14/2023 20:08:45,29.26,,,,,,
329,06/14/2023 20:18:45,29.43,,,,,,
330,06/14/2023 20:28:45,29.56,,,,,,
331,06/14/2023 20:38:45,29.60,,,,,,
332,06/14/2023 20:48:45,29.68,,,,,,
333,06/14/2023 20:58:45,29.73,,,,,,
334,06/14/2023 21:08:45,29.73,,,,,,
335,06/14/2023 21:18:45,29.56,,,,,,
336,06/14/2023 21:28:45,29.26,,,,,,
337,06/14/2023 21:38:45,29.51,,,,,,
338,06/14/2023 21:48:45,29.60,,,,,,
339,06/14/2023 21:58:45,29.64,,,,,,
340,06/14/2023 22:08:45,29.77,,,,,,
341,06/14/2023 22:18:45,29.77,,,,,,
342,06/14/2023 22:28:45,29.86,,,,,,
343,06/14/2023 22:38:45,29.47,,,,,,
344,06/14/2023 22:48:45,29.38,,,,,,
345,06/14/2023 22:58:45,29.51,,,,,,
346,06/14/2023 23:08:45,29.56,,,,,,
347,06/14/2023 23:18:45,29.64,,,,,,
348,06/14/2023 23:28:45,29.73,,,,,,
349,06/14/2023 23:38:45,29.81,,,,,,
350,06/14/2023 23:48:45,29.47,,,,,,
351,06/14/2023 23:58:45,29.34,,,,,,
352,06/15/2023 00:08:45,29.51,,,,,,
353,06/15/2023 00:18:45,29.64,,,,,,
354,06/15/2023 00:28:45,29.56,,,,,,
355,06/15/2023 00:38:45,29.68,,,,,,
356,06/15/2023 00:48:45,29.73,,,,,,
357,06/15/2023 00:58:45,29.81,,,,,,
358,06/15/2023 01:08:45,29.68,,,,,,
359,06/15/2023 01:18:45,29.34,,,,,,
360,06/15/2023 01:28:45,29.47,,,,,,
361,06/15/2023 01:38:45,29.60,,,,,,
362,06/15/2023 01:48:45,29.77,,,,,,
363,06/15/2023 01:58:45,29.86,,,,,,
