#,Date-Time (French Polynesia Standard Time),Ch:1 - Hot_sump   (°C),Chan 1 Alarm Tripped,Chan 1 Alarm Cleared,Button Down,Button Up,Host Connected,End of File
253,07/06/2023 14:36:32,29.43,,,,,,
254,07/06/2023 14:46:32,29.81,,,,,,
255,07/06/2023 14:56:32,30.03,,,,,,
256,07/06/2023 15:06:32,29.90,,,,,,
257,07/06/2023 15:16:32,29.73,,,,,,
258,07/06/2023 15:26:32,29.64,,,,,,
259,07/06/2023 15:36:32,29.51,,,,,,
260,07/06/2023 15:46:32,29.47,,,,,,
261,07/06/2023 15:56:32,29.38,,,,,,
262,07/06/2023 16:06:32,29.60,,,,,,
263,07/06/2023 16:16:32,29.98,,,,,,
264,07/06/2023 16:26:32,29.73,,,,,,
265,07/06/2023 16:36:32,29.60,,,,,,
266,07/06/2023 16:46:32,29.34,,,,,,
267,07/06/2023 16:56:32,29.68,,,,,,
268,07/06/2023 17:06:32,29.98,,,,,,
269,07/06/2023 17:16:32,29.64,,,,,,
270,07/06/2023 17:26:32,29.47,,,,,,
271,07/06/2023 17:36:32,29.34,,,,,,
272,07/06/2023 17:46:32,29.73,,,,,,
273,07/06/2023 17:56:32,29.81,,,,,,
274,07/06/2023 18:06:32,29.56,,,,,,
275,07/06/2023 18:16:32,29.38,,,,,,
276,07/06/2023 18:26:32,29.73,,,,,,
277,07/06/2023 18:36:32,29.90,,,,,,
278,07/06/2023 18:46:32,29.64,,,,,,
279,07/06/2023 18:56:32,29.34,,,,,,
280,07/06/2023 19:06:32,29.13,,,,,,
281,07/06/2023 19:16:32,29.04,,,,,,
282,07/06/2023 19:26:32,29.43,,,,,,
283,07/06/2023 19:36:32,29.17,,,,,,
284,07/06/2023 19:46:32,29.08,,,,,,
285,07/06/2023 19:56:32,28.95,,,,,,
286,07/06/2023 20:06:32,28.87,,,,,,
287,07/06/2023 20:16:32,28.87,,,,,,
288,07/06/2023 20:26:32,28.87,,,,,,
289,07/06/2023 20:36:32,28.83,,,,,,
290,07/06/2023 20:46:32,28.78,,,,,,
291,07/06/2023 20:56:32,28.74,,,,,,
292,07/06/2023 21:06:32,28.74,,,,,,
293,07/06/2023 21:16:32,28.70,,,,,,
294,07/06/2023 21:26:32,28.70,,,,,,
295,07/06/2023 21:36:32,28.65,,,,,,
296,07/06/2023 21:46:32,28.70,,,,,,
297,07/06/2023 21:56:32,28.65,,,,,,
298,07/06/2023 22:06:32,28.70,,,,,,
299,07/06/2023 22:16:32,28.65,,,,,,
300,07/06/2023 22:26:32,28.65,,,,,,
301,07/06/2023 22:36:32,28.70,,,,,,
302,07/06/2023 22:46:32,28.70,,,,,,
303,07/06/2023 22:56:32,28.70,,,,,,
304,07/06/2023 23:06:32,28.70,,,,,,
305,07/06/2023 23:16:32,28.65,,,,,,
306,07/06/2023 23:26:32,28.65,,,,,,
307,07/06/2023 23:36:32,28.61,,,,,,
308,07/06/2023 23:46:32,28.65,,,,,,
309,07/06/2023 23:56:32,28.65,,,,,,
310,07/07/2023 00:06:32,28.61,,,,,,
311,07/07/2023 00:16:32,28.61,,,,,,
312,07/07/2023 00:26:32,28.61,,,,,,
313,07/07/2023 00:36:32,28.61,,,,,,
314,07/07/2023 00:46:32,28.65,,,,,,
315,07/07/2023 00:56:32,28.65,,,,,,
316,07/07/2023 01:06:32,28.61,,,,,,
317,07/07/2023 01:16:32,28.61,,,,,,
318,07/07/2023 01:26:32,28.65,,,,,,
319,07/07/2023 01:36:32,28.61,,,,,,
320,07/07/2023 01:46:32,28.65,,,,,,
321,07/07/2023 01:56:32,28.61,,,,,,
322,07/07/2023 02:06:32,28.61,,,,,,
323,07/07/2023 02:16:32,28.61,,,,,,
324,07/07/2023 02:26:32,28.61,,,,,,
325,07/07/2023 02:36:32,28.65,,,,,,
326,07/07/2023 02:46:32,28.61,,,,,,
327,07/07/2023 02:56:32,28.61,,,,,,
328,07/07/2023 03:06:32,28.61,,,,,,
329,07/07/2023 03:16:32,28.61,,,,,,
330,07/07/2023 03:26:32,28.65,,,,,,
331,07/07/2023 03:36:32,28.57,,,,,,
332,07/07/2023 03:46:32,28.53,,,,,,
333,07/07/2023 03:56:32,28.53,,,,,,
334,07/07/2023 04:06:32,28.61,,,,,,
335,07/07/2023 04:16:32,28.61,,,,,,
336,07/07/2023 04:26:32,28.57,,,,,,
337,07/07/2023 04:36:32,28.61,,,,,,
338,07/07/2023 04:46:32,28.61,,,,,,
339,07/07/2023 04:56:32,28.61,,,,,,
340,07/07/2023 05:06:32,28.61,,,,,,
341,07/07/2023 05:16:32,28.53,,,,,,
342,07/07/2023 05:26:32,28.53,,,,,,
343,07/07/2023 05:36:32,28.53,,,,,,
344,07/07/2023 05:46:32,28.57,,,,,,
345,07/07/2023 05:56:32,28.57,,,,,,
346,07/07/2023 06:06:32,28.61,,,,,,
347,07/07/2023 06:16:32,28.61,,,,,,
348,07/07/2023 06:26:32,28.57,,,,,,
349,07/07/2023 06:36:32,28.57,,,,,,
350,07/07/2023 06:46:32,28.53,,,,,,
351,07/07/2023 06:56:32,28.53,,,,,,
352,07/07/2023 07:06:32,28.61,,,,,,
353,07/07/2023 07:16:32,28.61,,,,,,
354,07/07/2023 07:26:32,28.65,,,,,,
355,07/07/2023 07:36:32,28.65,,,,,,
356,07/07/2023 07:46:32,28.83,,,,,,
357,07/07/2023 07:56:32,28.74,,,,,,
358,07/07/2023 08:06:32,28.78,,,,,,
359,07/07/2023 08:16:32,28.91,,,,,,
360,07/07/2023 08:26:32,28.83,,,,,,
361,07/07/2023 08:36:32,28.87,,,,,,
362,07/07/2023 08:46:32,28.87,,,,,,
363,07/07/2023 08:56:32,28.95,,,,,,
364,07/07/2023 09:06:32,29.00,,,,,,
365,07/07/2023 09:16:32,29.00,,,,,,
366,07/07/2023 09:26:32,29.08,,,,,,
367,07/07/2023 09:36:32,29.13,,,,,,
368,07/07/2023 09:46:32,29.17,,,,,,
369,07/07/2023 09:56:32,29.17,,,,,,
370,07/07/2023 10:06:32,29.26,,,,,,
371,07/07/2023 10:16:32,29.30,,,,,,
372,07/07/2023 10:26:32,29.30,,,,,,
373,07/07/2023 10:36:32,29.34,,,,,,
374,07/07/2023 10:46:32,29.26,,,,,,
375,07/07/2023 10:56:32,29.30,,,,,,
376,07/07/2023 11:06:32,29.38,,,,,,
377,07/07/2023 11:16:32,29.38,,,,,,
378,07/07/2023 11:26:32,29.38,,,,,,
379,07/07/2023 11:36:32,29.43,,,,,,
380,07/07/2023 11:46:32,29.56,,,,,,
381,07/07/2023 11:56:32,29.47,,,,,,
382,07/07/2023 12:06:32,29.47,,,,,,
383,07/07/2023 12:16:32,29.47,,,,,,
384,07/07/2023 12:26:32,29.51,,,,,,
385,07/07/2023 12:36:32,29.43,,,,,,
386,07/07/2023 12:46:32,29.51,,,,,,
387,07/07/2023 12:56:32,29.51,,,,,,
388,07/07/2023 13:06:32,29.47,,,,,,
389,07/07/2023 13:16:32,29.51,,,,,,
390,07/07/2023 13:26:32,29.47,,,,,,
391,07/07/2023 13:36:32,29.51,,,,,,
392,07/07/2023 13:46:32,29.51,,,,,,
393,07/07/2023 13:56:32,29.47,,,,,,
394,07/07/2023 14:06:32,29.43,,,,,,
395,07/07/2023 14:16:32,29.51,,,,,,
396,07/07/2023 14:26:32,29.43,,,,,,
397,07/07/2023 14:36:32,29.38,,,,,,
398,07/07/2023 14:46:32,29.38,,,,,,
399,07/07/2023 14:56:32,29.38,,,,,,
400,07/07/2023 15:06:32,29.38,,,,,,
401,07/07/2023 15:16:32,29.38,,,,,,
402,07/07/2023 15:26:32,29.38,,,,,,
403,07/07/2023 15:36:32,29.38,,,,,,
404,07/07/2023 15:46:32,29.38,,,,,,
405,07/07/2023 15:56:32,29.30,,,,,,
406,07/07/2023 16:06:32,29.30,,,,,,
407,07/07/2023 16:16:32,29.26,,,,,,
408,07/07/2023 16:26:32,29.21,,,,,,
409,07/07/2023 16:36:32,29.13,,,,,,
410,07/07/2023 16:46:32,29.13,,,,,,
411,07/07/2023 16:56:32,29.08,,,,,,
412,07/07/2023 17:06:32,29.04,,,,,,
413,07/07/2023 17:16:32,29.08,,,,,,
414,07/07/2023 17:26:32,29.13,,,,,,
415,07/07/2023 17:36:32,29.13,,,,,,
416,07/07/2023 17:46:32,29.08,,,,,,
417,07/07/2023 17:56:32,29.17,,,,,,
418,07/07/2023 18:06:32,29.21,,,,,,
419,07/07/2023 18:16:32,29.13,,,,,,
420,07/07/2023 18:26:32,29.17,,,,,,
421,07/07/2023 18:36:32,29.21,,,,,,
422,07/07/2023 18:46:32,29.13,,,,,,
423,07/07/2023 18:56:32,29.13,,,,,,
424,07/07/2023 19:06:32,29.13,,,,,,
425,07/07/2023 19:16:32,29.13,,,,,,
426,07/07/2023 19:26:32,29.13,,,,,,
427,07/07/2023 19:36:32,29.08,,,,,,
428,07/07/2023 19:46:32,29.13,,,,,,
429,07/07/2023 19:56:32,29.13,,,,,,
430,07/07/2023 20:06:32,29.13,,,,,,
431,07/07/2023 20:16:32,29.13,,,,,,
432,07/07/2023 20:26:32,29.04,,,,,,
433,07/07/2023 20:36:32,29.00,,,,,,
434,07/07/2023 20:46:32,28.95,,,,,,
435,07/07/2023 20:56:32,28.91,,,,,,
436,07/07/2023 21:06:32,28.87,,,,,,
437,07/07/2023 21:16:32,28.91,,,,,,
438,07/07/2023 21:26:32,28.91,,,,,,
439,07/07/2023 21:36:32,28.87,,,,,,
440,07/07/2023 21:46:32,28.83,,,,,,
441,07/07/2023 21:56:32,28.83,,,,,,
442,07/07/2023 22:06:32,28.78,,,,,,
443,07/07/2023 22:16:32,28.78,,,,,,
444,07/07/2023 22:26:32,28.83,,,,,,
445,07/07/2023 22:36:32,28.87,,,,,,
446,07/07/2023 22:46:32,28.91,,,,,,
447,07/07/2023 22:56:32,28.95,,,,,,
448,07/07/2023 23:06:32,29.00,,,,,,
449,07/07/2023 23:16:32,29.00,,,,,,
450,07/07/2023 23:26:32,29.00,,,,,,
451,07/07/2023 23:36:32,28.95,,,,,,
452,07/07/2023 23:46:32,29.04,,,,,,
453,07/07/2023 23:56:32,29.04,,,,,,
454,07/08/2023 00:06:32,29.04,,,,,,
455,07/08/2023 00:16:32,29.08,,,,,,
456,07/08/2023 00:26:32,29.04,,,,,,
457,07/08/2023 00:36:32,29.08,,,,,,
458,07/08/2023 00:46:32,29.00,,,,,,
459,07/08/2023 00:56:32,29.08,,,,,,
460,07/08/2023 01:06:32,29.08,,,,,,
461,07/08/2023 01:16:32,29.08,,,,,,
462,07/08/2023 01:26:32,29.04,,,,,,
463,07/08/2023 01:36:32,29.00,,,,,,
464,07/08/2023 01:46:32,29.00,,,,,,
465,07/08/2023 01:56:32,29.00,,,,,,
466,07/08/2023 02:06:32,29.08,,,,,,
467,07/08/2023 02:16:32,29.04,,,,,,
468,07/08/2023 02:26:32,29.04,,,,,,
469,07/08/2023 02:36:32,28.95,,,,,,
470,07/08/2023 02:46:32,29.00,,,,,,
471,07/08/2023 02:56:32,29.00,,,,,,
472,07/08/2023 03:06:32,29.00,,,,,,
473,07/08/2023 03:16:32,29.04,,,,,,
474,07/08/2023 03:26:32,29.00,,,,,,
475,07/08/2023 03:36:32,29.00,,,,,,
476,07/08/2023 03:46:32,29.00,,,,,,
477,07/08/2023 03:56:32,29.00,,,,,,
478,07/08/2023 04:06:32,29.00,,,,,,
479,07/08/2023 04:16:32,29.00,,,,,,
480,07/08/2023 04:26:32,29.00,,,,,,
481,07/08/2023 04:36:32,29.04,,,,,,
482,07/08/2023 04:46:32,28.95,,,,,,
483,07/08/2023 04:56:32,29.00,,,,,,
484,07/08/2023 05:06:32,29.00,,,,,,
485,07/08/2023 05:16:32,28.95,,,,,,
486,07/08/2023 05:26:32,28.95,,,,,,
487,07/08/2023 05:36:32,28.95,,,,,,
488,07/08/2023 05:46:32,28.91,,,,,,
489,07/08/2023 05:56:32,28.95,,,,,,
490,07/08/2023 06:06:32,28.95,,,,,,
491,07/08/2023 06:16:32,28.95,,,,,,
492,07/08/2023 06:26:32,29.00,,,,,,
493,07/08/2023 06:36:32,29.00,,,,,,
494,07/08/2023 06:46:32,29.00,,,,,,
495,07/08/2023 06:56:32,28.95,,,,,,
496,07/08/2023 07:06:32,29.04,,,,,,
497,07/08/2023 07:16:32,29.08,,,,,,
498,07/08/2023 07:26:32,29.13,,,,,,
499,07/08/2023 07:36:32,29.17,,,,,,
500,07/08/2023 07:46:32,29.30,,,,,,
501,07/08/2023 07:56:32,29.34,,,,,,
502,07/08/2023 08:06:32,29.30,,,,,,
503,07/08/2023 08:16:32,29.38,,,,,,
504,07/08/2023 08:26:32,29.38,,,,,,
505,07/08/2023 08:36:32,29.47,,,,,,
506,07/08/2023 08:46:32,29.47,,,,,,
507,07/08/2023 08:56:32,29.47,,,,,,
508,07/08/2023 09:06:32,29.43,,,,,,
509,07/08/2023 09:16:32,29.51,,,,,,
510,07/08/2023 09:26:32,29.51,,,,,,
511,07/08/2023 09:36:32,29.47,,,,,,
512,07/08/2023 09:46:32,29.47,,,,,,
513,07/08/2023 09:56:32,29.51,,,,,,
514,07/08/2023 10:06:32,29.64,,,,,,
515,07/08/2023 10:16:32,29.64,,,,,,
516,07/08/2023 10:26:32,29.64,,,,,,
517,07/08/2023 10:36:32,29.73,,,,,,
518,07/08/2023 10:46:32,29.77,,,,,,
519,07/08/2023 10:56:32,29.86,,,,,,
520,07/08/2023 11:06:32,29.90,,,,,,
521,07/08/2023 11:16:32,29.94,,,,,,
522,07/08/2023 11:26:32,29.98,,,,,,
523,07/08/2023 11:36:32,29.47,,,,,,
524,07/08/2023 11:46:32,29.56,,,,,,
525,07/08/2023 11:56:32,29.68,,,,,,
526,07/08/2023 12:06:32,29.73,,,,,,
527,07/08/2023 12:16:32,29.73,,,,,,
528,07/08/2023 12:26:32,29.81,,,,,,
529,07/08/2023 12:36:32,29.86,,,,,,
530,07/08/2023 12:46:32,29.98,,,,,,
531,07/08/2023 12:56:32,29.86,,,,,,
532,07/08/2023 13:06:32,29.47,,,,,,
533,07/08/2023 13:16:32,29.73,,,,,,
534,07/08/2023 13:26:32,29.86,,,,,,
535,07/08/2023 13:36:32,29.86,,,,,,
536,07/08/2023 13:46:32,29.94,,,,,,
537,07/08/2023 13:56:32,29.98,,,,,,
538,07/08/2023 14:06:32,29.60,,,,,,
539,07/08/2023 14:16:32,29.51,,,,,,
540,07/08/2023 14:26:32,29.81,,,,,,
541,07/08/2023 14:36:32,29.94,,,,,,
542,07/08/2023 14:46:32,29.51,,,,,,
543,07/08/2023 14:56:32,29.56,,,,,,
544,07/08/2023 15:06:32,29.86,,,,,,
545,07/08/2023 15:16:32,29.94,,,,,,
546,07/08/2023 15:26:32,29.47,,,,,,
